Num	Registro no site	data	codificacao_foto	Conta para gente o que está acontecendo	Em que categoria se encaixaria o problema?	RECLASSIFICAÇÃO	PRECISA REV MANUAL?	Categoria 2	Com que frequência isso ocorre?	Consegue nos informar o endereço de onde a foto/vídeo foi tirada?	Em que localidade fica?	Insira a latitude do seu endereço (opcional)	Insira a longitude do seu endereço (opcional)	Você já tentou solucionar o problema de alguma forma?	A quem recorreu?
1	Sim	20210519	20210519_2310	Apesar de ter as caçambas sempre tem muito lixo espalhado	Acúmulo de lixo	Não precisa		Lixo	Diariamente	No final da rua projetada g com a F no salsa e merengue	Salsa e Merengue	-22.870357	-43.235913		
2	Sim	20210520	20210520_2118	Essa vala é na Rua projetada G no salsa.Ela fica sempre assim	Esgoto a céu aberto	Não precisa		Esgoto	Diariamente	Rua projetada G no salsa	Salsa e Merengue	-22.871244	-43.236338		
3	Sim	20210520	20210520_2121	Esgoto vazando	Esgoto a céu aberto	Transbordamento de esgoto		Esgoto	Frequentemente	C11 em frente à escola municipal Vila do Pinheiro	Vila dos Pinheiros	-22.869622	-43.238557		
4	Sim	20210520	20210520_2122	Esgoto vazando	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	C11 em frente à escola municipal Vila do Pinheiro	Vila dos Pinheiros	-22.869622	-43.238557		
5	Sim	20210521	210210521_0808	Lixo sempre depositado em cima de uma entrada de Esgoto. Problema Frequente.	Acúmulo de lixo	Não precisa		Lixo	Diariamente	Rua Gerson Ferreira, altura da Fundação Leão XIII	Roquete Pinto	-22.842273	-43.249849		
6	Sim	20210521	210210521_0809	Problema de esgoto frequente.	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Rua Gerson Ferreira, praticamente ao lado do CMS Américo Veloso.	Roquete Pinto	-22.842006	-43.249517		
7	Sim	20210521	210210521_0809 (2)	-	Transbordamento de esgoto	Não precisa		Esgoto	Frequentemente	Rua Gerson Ferreira, em Frente ao Posto de Polícia.	Roquete Pinto	-22.842124474822700	-43.249686153548400		
8	Sim	20210521	210210521_0811	Lixo sempre depositado e muitas das vezes esquecidos.	Acúmulo de lixo	Não precisa		Lixo	Diariamente	Travessa Santo Antônio altura do número 30	Roquete Pinto	-22.84223467804106	-43.24848401755628		
9	Não	20210521	210210521_0821	Problema de Esgoto a céu aberto, fixo há anos. 	Problemas com bueiro	Problemas com bueiro		Esgoto	Diariamente	Beco 7 de Setembro altura do número 27	Roquete Pinto	-22.841978	-43.247218		
10	Sim	20210521	210210521_0843	Problema de esgoto a céu aberto.	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Beco da Serragem - Altura do número 10. - 	Roquete Pinto	-22.841585733578896	-43.24858091731463		
