	codificacao_foto	ano	mes	dia	data	Conta para gente o que está acontecendo	Em que categoria se encaixaria o problema	Categoria 2	Com que frequência isso ocorre	Consegue nos informar o endereço de onde a foto/vídeo foi tirada	Em que localidade fica	Insira a latitude do seu endereço (opcional)	Insira a longitude do seu endereço (opcional)	Você já tentou solucionar o problema de alguma forma	A quem recorreu
0	20181019_0033	2018	10	19	20181019.0	Oi olha só aqui no esgoto da casa 206! Tá um fedor insuportável!Já fiz reclamações na Cedae,  É eles disseram que este esgoto precIsa de fazer obra e é que isso não é da alçada deles , e sim do dono. Toda vez esseesgoti fica vazando.	esgoto a céu aberto	Esgoto	Frequentemente	Rua Massaranduba, 206	Parque Rubens Vaz	-22852344	-432429	sim	Sem informacao
1	20181019_1115	2018	10	19	20181019.0	Problemas de alagamentos sempre que chove	alagamento	Esgoto	Ocasionalmente	Rua Santa Rita, 	Nova Holanda	-22853554	-43244659	nao menciona	nao se aplica
2	20181105_1650	2018	11	5	20181105.0	Sem informacao	esgoto a céu aberto	Esgoto	Não informado	Beco das Américas (Rua Tatajuba)	Parque Maré	-22854895	-43243645	nao menciona	nao se aplica
3	20181105_1651	2018	11	5	20181105.0	Sempre passo por lá e vejo esgoto caindo	esgoto a céu aberto	Esgoto	Frequentemente	Beco São Jorge (perto da praça)	Nova Holanda	-22854706	-43242941	nao menciona	nao se aplica
4	20181105_2312	2018	11	5	20181105.0	Sem informacao	acúmulo de lixo	Lixo	Não informado	Rua Tancredo Neves (em frente à igreja Sagrada Família)	Nova Holanda	-22854318	-43240687	nao menciona	nao se aplica
5	20181107_1700	2018	11	7	20181107.0	sempre passo e sempre vejo o lixo nesse mesmo local	acumulo	Lixo	Frequentemente	Rua Massaranduba (altura do bequinho)	Parque Rubens Vaz	-22852641	-43243844	nao menciona	nao se aplica
6	20181107_2333	2018	11	7	20181107.0	Sem informacao	acúmulo de lixo	Lixo	Não informado	Ao lado clinica jeremias // Final da Teixeira Ribeiro no campus Maré	Nova Holanda	-22854851	-43240024	nao menciona	nao se aplica
7	20181113_1637	2018	11	13	20181113.0	Acúmulo de lixo e entulho	acúmulo de lixo e entulho	Lixo	Não informado	Rua Larga	Parque União	-22850054	-43241409	nao menciona	nao se aplica
8	20181119_1936	2018	11	19	20181119.0	Sem informacao	acúmulo de lixo	Lixo	Frequentemente	Rua Tancredo Neves em frente a igreja católica	Nova Holanda	-22854318	-43240687	nao menciona	nao se aplica
9	20181119_2022	2018	11	19	20181119.0	E ae cocozap, lixarada se encontra perto do viaduto do pontilhao	acúmulo de lixo	Lixo	Não informado	Perto da antiga McLaren	Vila do Pinheiro	-22863604	-43239262	nao menciona	nao se aplica
