,ano,Mes,Localidade,Categoria,Subcategoria
0,2018,outubro,Parque Rubens Vaz,Esgoto,Esgoto a céu aberto
1,2018,outubro,Nova Holanda,Esgoto,Alagamento
2,2018,novembro,Parque Maré,Esgoto,Esgoto a céu aberto
3,2018,novembro,Nova Holanda,Esgoto,Esgoto a céu aberto
4,2018,novembro,Nova Holanda,Lixo,Acúmulo de lixo
5,2018,novembro,Parque Rubens Vaz,Lixo,Acúmulo de lixo
6,2018,novembro,Nova Holanda,Lixo,Acúmulo de lixo
7,2018,novembro,Parque União,Lixo,Acúmulo de lixo e entulho
8,2018,novembro,Nova Holanda,Lixo,Acúmulo de lixo
9,2018,novembro,Vila dos Pinheiros,Lixo,Acúmulo de lixo
10,2018,novembro,Nova Holanda,Esgoto,Transbordamento de esgoto
11,2018,novembro,Nova Holanda,Esgoto,Esgoto a céu aberto
12,2018,novembro,Nova Holanda,Esgoto,Esgoto a céu aberto
13,2018,novembro,Nova Holanda,Lixo,Acúmulo de lixo
14,2018,novembro,Parque União,Esgoto,Bueiro entupido
15,2018,novembro,Nova Holanda,Esgoto,Bueiro entupido
16,2018,novembro,Nova Holanda,Lixo,Acúmulo de lixo
17,2018,novembro,Nova Holanda,Esgoto,Transbordamento de esgoto
18,2018,novembro,Parque União,Esgoto,Transbordamento de esgoto
19,2018,dezembro,Parque União,Esgoto,Bueiro entupido
20,2018,dezembro,Nova Holanda,Lixo,Acúmulo de lixo
21,2018,dezembro,Nova Holanda,Lixo,Acúmulo de lixo
22,2018,dezembro,Parque União,Lixo,Acúmulo de lixo
23,2018,dezembro,Nova Holanda,Esgoto,Bueiro entupido
24,2018,dezembro,Baixa do Sapateiro,Esgoto,Bueiro entupido
25,2019,agosto,Nova Holanda,Lixo,Acúmulo de lixo
26,2019,agosto,Nova Holanda,Lixo,Acúmulo de lixo e entulho
27,2019,agosto,Nova Holanda,Esgoto,Bueiro entupido
28,2019,agosto,Baixa do Sapateiro,Lixo,Acúmulo de lixo
29,2019,setembro,Baixa do Sapateiro,Lixo,Acúmulo de lixo e entulho
30,2019,setembro,Baixa do Sapateiro,Lixo,Acúmulo de lixo e entulho
31,2019,setembro,Baixa do Sapateiro,Vazamento de água,Transbordamento de água
32,2019,setembro,Salsa e Merengue,Lixo,Acúmulo de lixo e entulho
33,2019,setembro,Salsa e Merengue,Lixo,Acúmulo de lixo
34,2019,setembro,Baixa do Sapateiro,Esgoto,Bueiro entupido
35,2019,setembro,Baixa do Sapateiro,Esgoto,Bueiro entupido
36,2019,setembro,Vila dos Pinheiros,Lixo,Acúmulo de lixo
37,2019,setembro,Morro do Timbau,Lixo,Acúmulo de lixo
38,2019,setembro,Salsa e Merengue,Lixo,Acúmulo de lixo e entulho
39,2019,setembro,Baixa do Sapateiro,Lixo,Acúmulo de lixo
40,2019,outubro,Baixa do Sapateiro,Lixo,Acúmulo de lixo e entulho
41,2019,outubro,Baixa do Sapateiro,Lixo,Acúmulo de lixo
42,2019,dezembro,Vila dos Pinheiros,Alagamento,Transbordamento de esgoto
43,2019,dezembro,Bento Ribeiro Dantas,Lixo,Acúmulo de lixo
44,2021,maio,Salsa e Merengue,Lixo,Acúmulo de lixo
