Localidade,Acúmulo de lixo,Acúmulo de lixo e entulho,Alagamento,Bueiro entupido,Bueiro entupido e transbordamento de esgoto,Esgoto a céu aberto,Problemas com bueiro,Qualidade da água,Transbordamento de água,Transbordamento de esgoto,Total
Baixa do Sapateiro,11,14,2,6,0,10,4,0,4,11,62
Bento Ribeiro Dantas,1,1,0,0,0,1,0,0,0,0,3
Conjunto Esperança,0,1,1,0,0,1,0,0,0,1,4
Conjunto Pinheiros,0,1,0,0,0,1,0,0,0,1,3
Marcílio Dias,2,0,3,1,0,0,0,0,1,0,7
Morro do Timbau,8,11,2,0,0,4,0,0,2,0,27
Nova Holanda,10,1,7,5,0,8,0,0,1,10,42
Nova Maré,3,3,0,4,0,4,2,0,0,2,18
Parque Maré,2,3,1,3,0,5,0,2,0,2,18
Parque Rubens Vaz,1,0,5,1,0,3,0,0,0,0,10
Parque União,4,1,1,11,0,3,0,0,1,3,24
Praia de Ramos,0,0,1,0,0,0,0,0,0,0,1
Roquete Pinto,4,2,3,2,0,10,1,0,0,3,25
Salsa e Merengue,3,8,0,0,0,3,0,0,1,3,18
Vila do João,2,1,1,1,0,3,0,0,1,1,10
Vila dos Pinheiros,9,7,6,6,0,11,1,0,4,6,50
Total,60,54,33,40,0,67,8,2,15,43,322
